,RAW_DATA,Time
300,1147808.00,1666715996.7160475
301,1148300.00,1666715996.7293
302,1148299.00,1666715996.7413669
303,1148320.00,1666715996.7538948
304,1148346.00,1666715996.76612
305,1148357.00,1666715996.7790077
306,1148340.00,1666715996.791885
307,1148379.00,1666715996.8036969
308,1148394.00,1666715996.8167994
309,1148772.00,1666715996.8287995
310,1148762.00,1666715996.8417792
311,1148794.00,1666715996.853731
312,1148808.00,1666715996.8668633
313,1148818.00,1666715996.8788002
314,1148845.00,1666715996.8919609
315,1148849.00,1666715996.9038053
316,1148875.00,1666715996.9168627
317,1149154.00,1666715996.9288912
318,1149171.00,1666715996.9418283
319,1149186.00,1666715996.9538455
320,1149197.00,1666715996.966101
321,1149207.00,1666715996.9789875
322,1149187.00,1666715996.9909396
323,1149215.00,1666715997.0042663
324,1149226.00,1666715997.016702
325,1149241.00,1666715997.0284941
326,1148184.00,1666715997.0418696
327,1148108.00,1666715997.0537605
328,1148028.00,1666715997.0666249
329,1147946.00,1666715997.07876
330,1147877.00,1666715997.0918565
331,1147795.00,1666715997.1044352
332,1147722.00,1666715997.116861
333,1147650.00,1666715997.1290135
334,1146648.00,1666715997.1418877
335,1146632.00,1666715997.1539843
336,1146630.00,1666715997.165951
337,1146631.00,1666715997.1785853
338,1146633.00,1666715997.1915164
339,1146623.00,1666715997.204419
340,1146626.00,1666715997.2163992
341,1146629.00,1666715997.2288728
342,1146636.00,1666715997.2418091
343,1146660.00,1666715997.2543488
344,1146666.00,1666715997.2669213
345,1146689.00,1666715997.2785237
346,1146694.00,1666715997.2918346
347,1146723.00,1666715997.3037498
348,1146753.00,1666715997.3167968
349,1147085.00,1666715997.328835
350,1147058.00,1666715997.341781
351,1147071.00,1666715997.354337
352,1147064.00,1666715997.3665528
353,1147068.00,1666715997.3785386
354,1147073.00,1666715997.3915076
355,1147053.00,1666715997.4034483
356,1147051.00,1666715997.4166627
357,1146943.00,1666715997.42865
358,1146948.00,1666715997.4418914
359,1146950.00,1666715997.4544325
360,1146978.00,1666715997.4668465
361,1146967.00,1666715997.4785562
362,1146964.00,1666715997.4917803
363,1146988.00,1666715997.5036807
364,1146996.00,1666715997.5168312
365,1147003.00,1666715997.5286036
366,1147448.00,1666715997.5418324
367,1147447.00,1666715997.5544293
368,1147466.00,1666715997.5668795
369,1147475.00,1666715997.5788393
370,1147497.00,1666715997.591846
371,1147524.00,1666715997.603836
372,1147518.00,1666715997.616633
373,1148023.00,1666715997.628649
374,1148032.00,1666715997.6418555
375,1148034.00,1666715997.653825
376,1148060.00,1666715997.6669536
377,1148086.00,1666715997.6791005
378,1148094.00,1666715997.6910703
379,1148099.00,1666715997.7037327
380,1148119.00,1666715997.7167675
381,1148119.00,1666715997.7290227
382,1148116.00,1666715997.7412004
383,1148130.00,1666715997.7543924
384,1148126.00,1666715997.7660725
385,1148121.00,1666715997.7792206
386,1148084.00,1666715997.79192
387,1148112.00,1666715997.8039198
388,1148111.00,1666715997.8166974
389,1148304.00,1666715997.8293817
390,1148298.00,1666715997.8418572
391,1148325.00,1666715997.854357
392,1148348.00,1666715997.866359
393,1148371.00,1666715997.8787394
394,1148388.00,1666715997.891754
395,1148418.00,1666715997.9043472
396,1148434.00,1666715997.91677
397,1148435.00,1666715997.92917
398,1147480.00,1666715997.9418736
399,1147416.00,1666715997.9542816
400,1147338.00,1666715997.9662073
