,RAW_DATA
0,Sensor initialized
1034,882475.00
1035,882472.00
1036,882468.00
1037,882478.00
1038,882472.00
1039,882520.00
1040,882509.00
1041,882529.00
1042,882522.00
1043,882523.00
1044,882528.00
1045,882527.00
1046,882525.00
1047,882521.00
1048,882537.00
1049,882534.00
1050,882542.00
1051,882543.00
1052,882537.00
1053,882543.00
1054,882542.00
1055,882519.00
1056,882537.00
1057,882300.00
1058,882284.00
1059,882304.00
1060,882287.00
1061,882287.00
1062,882288.00
1063,882287.00
1064,882266.00
1065,882296.00
1066,882396.00
1067,882398.00
1068,882408.00
1069,882409.00
1070,882408.00
1071,882419.00
1072,882404.00
1073,882406.00
1074,882421.00
1075,882421.00
1076,882427.00
1077,882422.00
1078,882444.00
1079,882429.00
1080,882423.00
1081,882427.00
1082,882408.00
1083,882408.00
1084,882449.00
1085,882437.00
1086,882436.00
1087,882443.00
1088,882437.00
1089,882446.00
1090,882444.00
1091,882404.00
1092,882455.00
1093,882471.00
1094,882482.00
1095,882463.00
1096,882468.00
1097,882485.00
1098,882477.00
1099,882486.00
1100,882473.00
1101,882484.00
1102,882475.00
1103,882467.00
1104,882466.00
1105,882439.00
1106,882450.00
1107,882435.00
1108,882423.00
1109,882411.00
1110,882408.00
1111,882216.00
1112,882247.00
1113,882232.00
1114,882220.00
1115,882246.00
1116,882242.00
1117,882248.00
1118,882243.00
1119,882233.00
1120,882366.00
1121,882357.00
1122,882378.00
1123,882361.00
1124,882372.00
1125,882385.00
1126,882371.00
1127,882379.00
1128,882387.00
1129,882340.00
1130,882352.00
1131,882341.00
1132,882335.00
1133,882322.00
1134,882349.00
1135,882343.00
1136,882337.00
1137,882398.00
1138,882391.00
1139,882395.00
1140,882398.00
1141,882402.00
1142,882390.00
1143,882400.00
1144,882405.00
1145,882407.00
1146,882467.00
1147,882468.00
1148,882461.00
1149,882468.00
1150,882468.00
1151,882465.00
1152,882465.00
1153,882466.00
1154,882477.00
1155,882388.00
1156,882387.00
1157,882364.00
1158,882367.00
1159,882342.00
1160,882333.00
1161,882322.00
1162,882309.00
1163,882290.00
1164,882216.00
1165,882223.00
1166,882222.00
1167,882226.00
1168,882233.00
1169,882261.00
1170,882260.00
1171,882253.00
1172,882268.00
1173,882439.00
1174,882407.00
1175,882436.00
1176,882425.00
1177,882442.00
1178,882436.00
1179,882427.00
1180,882436.00
1181,882437.00
1182,882398.00
1183,882383.00
1184,882390.00
1185,882409.00
1186,882396.00
1187,882396.00
1188,882403.00
1189,882387.00
1190,882405.00
1191,882445.00
1192,882429.00
1193,882442.00
1194,882446.00
1195,882433.00
1196,882425.00
1197,882443.00
1198,882430.00
1199,882443.00
1200,882450.00
1201,882440.00
1202,882454.00
1203,882460.00
1204,882458.00
1205,882427.00
1206,882461.00
1207,882464.00
1208,882458.00
1209,882342.00
1210,882324.00
1211,882329.00
1212,882301.00
1213,882290.00
1214,882245.00
1215,882245.00
1216,882238.00
1217,882216.00
1218,882163.00
1219,882158.00
1220,882168.00
1221,882171.00
1222,882165.00
1223,882164.00
1224,882176.00
1225,882172.00
1226,882188.00
1227,882310.00
1228,882306.00
1229,882295.00
1230,882310.00
1231,882302.00
1232,882205.00
1233,882302.00
1234,882307.00
1235,882307.00
1236,882286.00
1237,882293.00
1238,882283.00
1239,882287.00
1240,882286.00
1241,882298.00
1242,882297.00
1243,882288.00
1244,882296.00
1245,882355.00
1246,882347.00
1247,882364.00
1248,882350.00
1249,882356.00
1250,882368.00
1251,882360.00
1252,882359.00
1253,882376.00
1254,882417.00
1255,882404.00
1256,882411.00
1257,882413.00
1258,882415.00
1259,882421.00
1260,882413.00
1261,882409.00
1262,882414.00
1263,882445.00
1264,882451.00
1265,882457.00
1266,882457.00
1267,882458.00
1268,882457.00
1269,882454.00
1270,882453.00
1271,882464.00
1272,882098.00
1273,882055.00
1274,882040.00
1275,882028.00
1276,881992.00
1277,881977.00
1278,881960.00
1279,881930.00
1280,881911.00
1281,881983.00
1282,881984.00
1283,881986.00
1284,881987.00
1285,881998.00
1286,882003.00
1287,882019.00
1288,882030.00
1289,882032.00
1290,882198.00
1291,882191.00
1292,882200.00
1293,882203.00
1294,882200.00
1295,882189.00
1296,882194.00
1297,882189.00
1298,882189.00
1299,882206.00
1300,882215.00
1301,882219.00
1302,882215.00
1303,882218.00
1304,882210.00
1305,882219.00
1306,882223.00
1307,882219.00
1308,882294.00
1309,882303.00
1310,882300.00
1311,882314.00
1312,882310.00
1313,882312.00
1314,882303.00
1315,882306.00
1316,882296.00
1317,882342.00
1318,882358.00
1319,882345.00
1320,882338.00
1321,882334.00
1322,882354.00
1323,882350.00
1324,882337.00
1325,882339.00
1326,882387.00
1327,882392.00
1328,882393.00
1329,882389.00
1330,882375.00
1331,882382.00
1332,882391.00
1333,882394.00
1334,882403.00
1335,882168.00
1336,882120.00
1337,882112.00
1338,882076.00
1339,882049.00
1340,882023.00
1341,881999.00
1342,881965.00
1343,881927.00
1344,881898.00
1345,881880.00
1346,881918.00
1347,881907.00
1348,881923.00
1349,881922.00
1350,881935.00
1351,881937.00
1352,881948.00
1353,882147.00
1354,882131.00
1355,882141.00
1356,882153.00
1357,882157.00
1358,882155.00
1359,882163.00
1360,882161.00
1361,882154.00
1362,882127.00
1363,882127.00
1364,882132.00
1365,882150.00
1366,882137.00
1367,882156.00
1368,882139.00
1369,882160.00
1370,882150.00
1371,882207.00
1372,882207.00
1373,882223.00
1374,882208.00
1375,882219.00
1376,882218.00
1377,882194.00
1378,882222.00
1379,882219.00
1380,882262.00
1381,882223.00
1382,882253.00
1383,882272.00
1384,882268.00
1385,882272.00
1386,882256.00
1387,882263.00
1388,882278.00
1389,882300.00
1390,882296.00
1391,882294.00
1392,882299.00
1393,882292.00
1394,882297.00
1395,882290.00
1396,882302.00
1397,882295.00
1398,882218.00
1399,882193.00
1400,882183.00
1401,882171.00
1402,882145.00
1403,882152.00
1404,882121.00
1405,882106.00
1406,882107.00
1407,882004.00
1408,882011.00
1409,882016.00
1410,882017.00
1411,882031.00
1412,882031.00
1413,882036.00
1414,882044.00
1415,882038.00
1416,882189.00
1417,882189.00
1418,882179.00
1419,882186.00
1420,882181.00
1421,882191.00
1422,882201.00
1423,882191.00
1424,882184.00
1425,882168.00
1426,882162.00
1427,882172.00
1428,882166.00
1429,882173.00
1430,882178.00
1431,882189.00
1432,882175.00
1433,882182.00
1434,882257.00
1435,882242.00
1436,882253.00
1437,882263.00
1438,882250.00
1439,882257.00
1440,882261.00
1441,882254.00
1442,882270.00
1443,882307.00
1444,882321.00
1445,882321.00
1446,882324.00
1447,882329.00
1448,882322.00
1449,882317.00
1450,882328.00
1451,882332.00
1452,882367.00
1453,882361.00
1454,882371.00
1455,882367.00
1456,882357.00
1457,882355.00
1458,882348.00
1459,882370.00
1460,882372.00
1461,882033.00
1462,882027.00
1463,882045.00
1464,881997.00
1465,882004.00
1466,881990.00
1467,881971.00
1468,881989.00
1469,881974.00
1470,882129.00
1471,882145.00
1472,882162.00
1473,882140.00
1474,882163.00
1475,882152.00
1476,882150.00
1477,882179.00
1478,882185.00
1479,882261.00
1480,882257.00
1481,882261.00
1482,882253.00
1483,882249.00
1484,882257.00
1485,882237.00
1486,882247.00
1487,882249.00
1488,882269.00
1489,882262.00
1490,882266.00
1491,882263.00
1492,882256.00
1493,882273.00
1494,882264.00
1495,882272.00
1496,882287.00
1497,882334.00
1498,882341.00
1499,882344.00
1500,882354.00
1501,882354.00
1502,882346.00
1503,882306.00
1504,882338.00
1505,882341.00
1506,882370.00
1507,882373.00
1508,882363.00
1509,882393.00
1510,882398.00
1511,882383.00
1512,882375.00
1513,882377.00
1514,882391.00
1515,882391.00
1516,882399.00
1517,882393.00
1518,882398.00
1519,882389.00
1520,882388.00
1521,882389.00
1522,882379.00
1523,882382.00
1524,882043.00
1525,882047.00
1526,882026.00
1527,882044.00
1528,882043.00
1529,882040.00
1530,882049.00
1531,882054.00
1532,882060.00
1533,882203.00
1534,882211.00
1535,882196.00
1536,882215.00
1537,882224.00
1538,882217.00
1539,882229.00
1540,882246.00
1541,882241.00
1542,882284.00
1543,882289.00
1544,882261.00
1545,882290.00
1546,882291.00
1547,882288.00
1548,882288.00
1549,882287.00
1550,882280.00
1551,882332.00
1552,882331.00
1553,882335.00
1554,882351.00
1555,882362.00
1556,882362.00
1557,882364.00
1558,882359.00
1559,882358.00
1560,882431.00
1561,882431.00
1562,882452.00
1563,882443.00
1564,882444.00
1565,882455.00
1566,882448.00
1567,882455.00
1568,882457.00
1569,882500.00
1570,882497.00
1571,882523.00
1572,882505.00
1573,882503.00
1574,882499.00
1575,882520.00
1576,882518.00
1577,882501.00
1578,882515.00
1579,882519.00
1580,882523.00
1581,882512.00
1582,882505.00
1583,882487.00
1584,882494.00
1585,882490.00
1586,882467.00
1587,882038.00
1588,882040.00
1589,882043.00
1590,882054.00
1591,882058.00
1592,882059.00
1593,882056.00
1594,882078.00
1595,882080.00
1596,882280.00
1597,882281.00
1598,882265.00
1599,882297.00
1600,882301.00
1601,882299.00
1602,882305.00
1603,882325.00
1604,882314.00
1605,882315.00
1606,882314.00
1607,882295.00
1608,882318.00
1609,882316.00
1610,882311.00
1611,882316.00
1612,882313.00
1613,882307.00
1614,882348.00
1615,882353.00
1616,882326.00
1617,882354.00
1618,882364.00
1619,882371.00
1620,882349.00
1621,882365.00
1622,882374.00
1623,882444.00
1624,882438.00
1625,882438.00
1626,882455.00
1627,882435.00
1628,882448.00
1629,882447.00
1630,882424.00
1631,882455.00
1632,882488.00
1633,882478.00
1634,882462.00
1635,882484.00
1636,882492.00
1637,882491.00
1638,882488.00
1639,882485.00
1640,882493.00
1641,882495.00
1642,882487.00
1643,882454.00
1644,882454.00
1645,882412.00
1646,882402.00
1647,882382.00
1648,882363.00
1649,882362.00
1650,882087.00
1651,882091.00
1652,882084.00
1653,882104.00
1654,882108.00
1655,882115.00
1656,882123.00
1657,882128.00
1658,882144.00
1659,882331.00
1660,882334.00
1661,882335.00
1662,882335.00
1663,882347.00
1664,882336.00
1665,882361.00
1666,882358.00
1667,882354.00
1668,882357.00
1669,882363.00
1670,882363.00
1671,882355.00
1672,882376.00
1673,882366.00
1674,882363.00
1675,882364.00
1676,882356.00
1677,882459.00
1678,882463.00
1679,882466.00
1680,882467.00
1681,882468.00
1682,882472.00
1683,882467.00
1684,882492.00
1685,882483.00
1686,882619.00
1687,882605.00
1688,882616.00
1689,882618.00
1690,882614.00
1691,882611.00
1692,882599.00
1693,882623.00
1694,882609.00
